timestamp_utc,vram_used_mb,vram_free_mb,vram_total_mb
2026-08-23T09:40:33Z,7384,41020,48935
2026-08-23T09:40:35Z,7384,41020,48935
2026-08-23T09:40:37Z,7384,41020,48935
2026-08-23T09:40:39Z,7384,41020,48935
2026-08-23T09:40:41Z,7384,41020,48935
2026-08-23T09:40:43Z,7384,41020,48935
2026-08-23T09:40:45Z,7384,41020,48935
2026-08-23T09:40:47Z,7384,41020,48935
2026-08-23T09:40:49Z,7384,41020,48935
2026-08-23T09:40:51Z,7384,41020,48935
2026-08-23T09:40:53Z,7384,41020,48935
2026-08-23T09:40:55Z,7384,41020,48935
2026-08-23T09:40:57Z,7384,41020,48935
2026-08-23T09:40:59Z,7384,41020,48935
2026-08-23T09:41:01Z,7384,41020,48935
2026-08-23T09:41:04Z,7384,41020,48935
2026-08-23T09:41:06Z,7384,41020,48935
2026-08-23T09:41:08Z,7384,41020,48935
2026-08-23T09:41:10Z,7384,41020,48935
2026-08-23T09:41:12Z,7384,41020,48935
2026-08-23T09:41:14Z,7384,41020,48935
2026-08-23T09:41:16Z,7384,41020,48935
2026-08-23T09:41:18Z,7384,41020,48935
2026-08-23T09:41:20Z,7384,41020,48935
2026-08-23T09:41:22Z,7384,41020,48935
2026-08-23T09:41:24Z,7384,41020,48935
2026-08-23T09:41:26Z,7254,41150,48935
2026-08-23T09:41:28Z,7254,41150,48935
2026-08-23T09:41:30Z,7254,41150,48935
2026-08-23T09:41:32Z,7254,41150,48935
2026-08-23T09:41:34Z,7254,41150,48935
2026-08-23T09:41:36Z,7254,41150,48935
2026-08-23T09:41:38Z,7384,41020,48935
2026-08-23T09:41:40Z,7384,41020,48935
2026-08-23T09:41:42Z,7384,41020,48935
2026-08-23T09:41:44Z,7384,41020,48935
2026-08-23T09:41:46Z,7384,41020,48935
2026-08-23T09:41:48Z,7384,41020,48935
2026-08-23T09:41:50Z,7384,41020,48935
2026-08-23T09:41:52Z,7384,41020,48935
2026-08-23T09:41:54Z,7384,41020,48935
2026-08-23T09:41:56Z,7384,41020,48935
2026-08-23T09:41:58Z,7384,41020,48935
2026-08-23T09:42:00Z,7384,41020,48935
2026-08-23T09:42:02Z,7384,41020,48935
2026-08-23T09:42:04Z,7384,41020,48935
2026-08-23T09:42:06Z,7384,41020,48935
2026-08-23T09:42:08Z,7384,41020,48935
2026-08-23T09:42:10Z,7384,41020,48935
2026-08-23T09:42:12Z,7384,41020,48935
2026-08-23T09:42:14Z,7384,41020,48935
2026-08-23T09:42:16Z,7384,41020,48935
2026-08-23T09:42:18Z,7384,41020,48935
2026-08-23T09:42:20Z,7384,41020,48935
2026-08-23T09:42:22Z,7384,41020,48935
2026-08-23T09:42:24Z,7384,41020,48935
2026-08-23T09:42:26Z,7384,41020,48935
2026-08-23T09:42:28Z,7384,41020,48935
2026-08-23T09:42:30Z,7384,41020,48935
2026-08-23T09:42:33Z,7384,41020,48935
2026-08-23T09:42:35Z,7384,41020,48935
2026-08-23T09:42:37Z,7384,41020,48935
2026-08-23T09:42:39Z,7384,41020,48935
2026-08-23T09:42:41Z,7384,41020,48935
2026-08-23T09:42:43Z,7384,41020,48935
2026-08-23T09:42:45Z,7384,41020,48935
2026-08-23T09:42:47Z,7384,41020,48935
2026-08-23T09:42:49Z,7384,41020,48935
2026-08-23T09:42:51Z,7384,41020,48935
2026-08-23T09:42:53Z,7384,41020,48935
2026-08-23T09:42:55Z,7384,41020,48935
2026-08-23T09:42:57Z,7384,41020,48935
2026-08-23T09:42:59Z,7384,41020,48935
2026-08-23T09:43:01Z,7384,41020,48935
2026-08-23T09:43:03Z,7384,41020,48935
2026-08-23T09:43:05Z,7384,41020,48935
